dependent_spouse,hmale,hage,dep_child,started_business,average_risk_attitude,above_average_risk_attitude,substantial_risk_attitude,college4,grad,ln_total_incomer,log_amt_loan_total_fin_w,amt_loan_total_fin_w,ln_new_worthr,log_share_risky_assets_3_w,share_risky_assets_3_w,ln_Rm_p4,vol_Rm_p4,aaa_diff
0,0,95,0,0,0,0,0,1,0,12.00995,-18.42068,0,15.65355,-4.708237,.0090207,,,
1,1,95,0,0,0,0,0,0,1,13.26415,-18.42068,0,17.03376,-.6855469,.5038146,,,
0,0,94,0,0,1,0,0,1,0,13.88408,-18.42068,0,13.64924,-18.42068,0,,,
1,1,92,0,0,0,0,0,1,0,11.32685,-18.42068,0,15.13396,-.2684645,.7645525,,,
1,1,95,0,0,0,0,0,0,1,12.11959,-18.42068,0,15.3568,-1.294923,.273919,,,
0,0,95,0,0,1,0,0,1,0,13.6012,-18.42068,0,16.27587,-1.262242,.2830189,,,
0,1,94,0,0,0,0,0,1,0,12.32931,-18.42068,0,15.61862,-4.350277,.0129032,,,
0,1,89,0,0,1,0,0,0,1,12.44526,-18.42068,0,15.80525,-.1875097,.8290211,,,
1,1,95,0,0,0,0,0,0,1,12.00979,-18.42068,0,13.04251,-18.42068,0,,,
0,1,89,0,0,0,0,0,0,1,12.83093,-18.42068,0,14.14099,-1.440504,.2368084,,,
1,1,89,0,0,1,0,0,1,0,13.32019,-18.42068,0,15.49054,-.1451382,.8649027,,,
1,1,92,0,0,1,0,0,0,1,11.97649,-18.42068,0,14.42168,-.0789688,.9240687,,,
0,1,91,0,0,1,0,0,0,1,11.8754,-18.42068,0,14.74848,-.3391169,.7123991,,,
1,1,91,0,0,0,0,0,1,0,10.42314,-18.42068,0,12.19963,-.4107422,.6631579,,,
1,1,91,0,0,1,0,0,0,1,11.95707,-18.42068,0,12.48076,-.3203428,.7259001,,,
1,1,88,0,0,0,0,0,0,1,11.73231,-18.42068,0,15.75659,-.7997569,.4494382,,,
1,1,88,1,0,1,0,0,1,0,16.53743,-18.42068,0,19.08494,-.2623831,.7692163,,,
0,0,87,0,0,0,0,0,1,0,15.15549,-18.42068,0,18.20723,-.0779893,.9249743,,,
1,1,87,0,0,0,0,0,1,0,12.65127,-18.42068,0,13.67441,-1.009167,.3645224,,,
0,0,90,0,0,0,0,0,1,0,14.19799,-18.42068,0,17.50714,-1.252382,.2858232,,,
0,1,92,0,0,1,0,0,0,1,10.76137,-18.42068,0,13.40711,-.2784654,.7569444,,,
1,1,92,0,0,1,0,0,1,0,14.56466,-18.42068,0,19.14743,-.6318665,.5315986,,,
1,1,89,0,0,0,1,0,0,1,10.76609,-18.42068,0,12.85436,-.3050971,.7370518,,,
1,1,92,0,0,0,0,0,0,1,11.62157,-18.42068,0,13.82022,-18.42068,0,,,
1,1,95,0,0,1,0,0,0,1,12.64148,-18.42068,0,14.81367,-.1359741,.8728653,,,
0,1,95,0,0,1,0,0,0,1,13.43187,-18.42068,0,16.19452,-.52486,.5916382,,,
0,1,86,0,0,1,0,0,0,1,13.46692,-18.42068,0,14.25698,-18.42068,0,,,
1,1,89,0,0,1,0,0,0,1,12.89278,-18.42068,0,14.94221,-.412907,.6617238,,,
0,1,86,0,1,0,0,1,1,0,14.79882,-18.42068,0,17.27938,-1.101633,.3323281,,,
1,1,86,0,0,0,0,0,1,0,11.89216,-18.42068,0,14.21277,-1.836364,.159396,,,
